name,name2,party,vote,state,state2,party2,vote2,cross_party,storm,sharevote
Benjamin “Ben” Sasse,Jeff Merkley,Republican,1,NE,OR,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Jerry Moran,Republican,1,NE,KS,Republican,1,1,0,1
Benjamin “Ben” Sasse,Joe Donnelly,Republican,1,NE,IN,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Joe Manchin,Republican,1,NE,WV,Democrat,1,0,0,1
Benjamin “Ben” Sasse,John “Johnny” Isakson,Republican,1,NE,GA,Republican,1,1,0,1
Benjamin “Ben” Sasse,John Barrasso,Republican,1,NE,WY,Republican,1,1,0,1
Benjamin “Ben” Sasse,John Boozman,Republican,1,NE,AR,Republican,1,1,0,1
Benjamin “Ben” Sasse,John Cornyn,Republican,1,NE,TX,Republican,1,1,0,1
Benjamin “Ben” Sasse,John F. “Jack” Reed,Republican,1,NE,RI,Democrat,1,0,0,1
Benjamin “Ben” Sasse,John Hoeven,Republican,1,NE,ND,Republican,1,1,0,1
Benjamin “Ben” Sasse,John Neely Kennedy,Republican,1,NE,LA,Republican,1,1,0,1
Benjamin “Ben” Sasse,John Thune,Republican,1,NE,SD,Republican,1,1,0,1
Benjamin “Ben” Sasse,Jon Kyl,Republican,1,NE,AZ,Republican,1,1,0,1
Benjamin “Ben” Sasse,Jon Tester,Republican,1,NE,MT,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Joni Ernst,Republican,1,NE,IA,Republican,1,1,0,1
Benjamin “Ben” Sasse,Kamala Harris,Republican,1,NE,CA,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Kirsten Gillibrand,Republican,1,NE,NY,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Lamar Alexander,Republican,1,NE,TN,Republican,1,1,0,1
Benjamin “Ben” Sasse,Lindsey Graham,Republican,1,NE,SC,Republican,1,1,0,1
Benjamin “Ben” Sasse,Lisa Murkowski,Republican,1,NE,AK,Republican,1,1,0,1
Benjamin “Ben” Sasse,Marco Rubio,Republican,1,NE,FL,Republican,1,1,0,1
Benjamin “Ben” Sasse,Margaret “Maggie” Hassan,Republican,1,NE,NH,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Maria Cantwell,Republican,1,NE,WA,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Mark Warner,Republican,1,NE,VA,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Martin Heinrich,Republican,1,NE,NM,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Mazie Hirono,Republican,1,NE,HI,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Michael “Mike” Crapo,Republican,1,NE,ID,Republican,1,1,0,1
Benjamin “Ben” Sasse,Michael Bennet,Republican,1,NE,CO,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Michael Enzi,Republican,1,NE,WY,Republican,1,1,0,1
Benjamin “Ben” Sasse,Mike Rounds,Republican,1,NE,SD,Republican,1,1,0,1
Benjamin “Ben” Sasse,Mitch McConnell,Republican,1,NE,KY,Republican,1,1,0,1
Benjamin “Ben” Sasse,Orrin Hatch,Republican,1,NE,UT,Republican,1,1,0,1
Benjamin “Ben” Sasse,Pat Roberts,Republican,1,NE,KS,Republican,1,1,0,1
Benjamin “Ben” Sasse,Patrick “Pat” Toomey,Republican,1,NE,PA,Republican,1,1,0,1
Benjamin “Ben” Sasse,Patrick Leahy,Republican,1,NE,VT,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Patty Murray,Republican,1,NE,WA,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Rand Paul,Republican,1,NE,KY,Republican,1,1,0,1
Benjamin “Ben” Sasse,Richard Blumenthal,Republican,1,NE,CT,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Richard Burr,Republican,1,NE,NC,Republican,1,1,0,1
Benjamin “Ben” Sasse,Richard Durbin,Republican,1,NE,IL,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Richard Shelby,Republican,1,NE,AL,Republican,1,1,0,1
Benjamin “Ben” Sasse,Robert “Bob” Casey,Republican,1,NE,PA,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Robert “Bob” Menendez,Republican,1,NE,NJ,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Robert “Rob” Portman,Republican,1,NE,OH,Republican,1,1,0,1
Benjamin “Ben” Sasse,Roger Wicker,Republican,1,NE,MS,Republican,1,1,0,1
Benjamin “Ben” Sasse,Ron Johnson,Republican,1,NE,WI,Republican,1,1,0,1
Benjamin “Ben” Sasse,Ron Wyden,Republican,1,NE,OR,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Roy Blunt,Republican,1,NE,MO,Republican,1,1,0,1
Benjamin “Ben” Sasse,Sheldon Whitehouse,Republican,1,NE,RI,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Shelley Moore Capito,Republican,1,NE,WV,Republican,1,1,0,1
Benjamin “Ben” Sasse,Sherrod Brown,Republican,1,NE,OH,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Steve Daines,Republican,1,NE,MT,Republican,1,1,0,1
Benjamin “Ben” Sasse,Susan Collins,Republican,1,NE,ME,Republican,1,1,0,1
Benjamin “Ben” Sasse,Tammy Baldwin,Republican,1,NE,WI,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Tammy Duckworth,Republican,1,NE,IL,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Ted Cruz,Republican,1,NE,TX,Republican,1,1,0,1
Benjamin “Ben” Sasse,Thom Tillis,Republican,1,NE,NC,Republican,1,1,0,1
Benjamin “Ben” Sasse,Thomas Carper,Republican,1,NE,DE,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Tim Scott,Republican,1,NE,SC,Republican,1,1,0,1
Benjamin “Ben” Sasse,Timothy “Tim” Kaine,Republican,1,NE,VA,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Tina Smith,Republican,1,NE,MN,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Todd Young,Republican,1,NE,IN,Republican,1,1,0,1
Benjamin “Ben” Sasse,Tom Cotton,Republican,1,NE,AR,Republican,1,1,0,1
Benjamin “Ben” Sasse,Tom Udall,Republican,1,NE,NM,Democrat,1,0,0,1
Benjamin Cardin,Amy Klobuchar,Democrat,1,MD,MN,Democrat,1,1,0,1
Benjamin Cardin,Angus King,Democrat,1,MD,ME,Democrat,1,1,0,1
Benjamin Cardin,Benjamin “Ben” Sasse,Democrat,1,MD,NE,Republican,1,0,0,1
Benjamin Cardin,Bernard “Bernie” Sanders,Democrat,1,MD,VT,Democrat,1,1,0,1
Benjamin Cardin,Bill Cassidy,Democrat,1,MD,LA,Republican,1,0,0,1
Benjamin Cardin,Bill Nelson,Democrat,1,MD,FL,Democrat,1,1,0,1
Benjamin Cardin,Bob Corker,Democrat,1,MD,TN,Republican,1,0,0,1
Benjamin Cardin,Brian Schatz,Democrat,1,MD,HI,Democrat,1,1,0,1
Benjamin Cardin,Catherine Cortez Masto,Democrat,1,MD,NV,Democrat,1,1,0,1
Benjamin Cardin,Charles “Chuck” Grassley,Democrat,1,MD,IA,Republican,1,0,0,1
Benjamin Cardin,Charles “Chuck” Schumer,Democrat,1,MD,NY,Democrat,1,1,0,1
Benjamin Cardin,Chris Van Hollen,Democrat,1,MD,MD,Democrat,1,1,0,1
Benjamin Cardin,Christopher Coons,Democrat,1,MD,DE,Democrat,1,1,0,1
Benjamin Cardin,Christopher Murphy,Democrat,1,MD,CT,Democrat,1,1,0,1
Benjamin Cardin,Cindy Hyde-Smith,Democrat,1,MD,MS,Republican,1,0,0,1
Benjamin Cardin,Claire McCaskill,Democrat,1,MD,MO,Democrat,1,1,0,1
